"mac_Id","ts","Acc_Angle","Acceleration_y","Acceleration_Z","Aceeleration_x","Device_ID","Gyro_x","Gyro_y","Gyro_z","time","Velocity"
"2c:3a:e8:03:e2:03","1661180536143","77.65640259","0.531512797","9.54807663","2.020706177","ESP8266_1","'-35.45040894","33.70994949","'-73.87792206","42688","3436787.25"
"2c:3a:e8:03:e2:03","1661180536320","59.25997162","'-4.455609322","13.79778481","6.890512466","ESP8266_1","'-171.4810638","'-32.87025452","'-74.70235443","42856","3470286.25"
"2c:3a:e8:03:e2:03","1661180536481","52.52721024","2.60010314","9.028534889","'-6.414066315","ESP8266_1","'-137.6795044","'-60.39699554","227.3131561","43035","3505638"
"2c:3a:e8:03:e2:03","1661180536698","66.81816101","1.043871999","5.717353821","'-2.214636564","ESP8266_1","'-34.09162903","'-75.70998383","15.26718712","43198","3521808"
"2c:3a:e8:03:e2:03","1661180536829","49.38641357","'-0.256179571","7.10359621","6.086060524","ESP8266_1","57.66417313","2.488551855","30.85498428","43363","3547620.25"
"2c:3a:e8:03:e2:03","1661180537000","84.1581955","'-0.418985307","11.62624359","1.113303781","ESP8266_1","69.43516541","'-27.77101517","'-120.1222382","43541","3567289"
"2c:3a:e8:03:e2:03","1661180537161","70.74827576","3.399766445","9.792284966","0.37110126","ESP8266_1","1.633589149","31.11452675","5.236645699","43704","3592314.5"
"2c:3a:e8:03:e2:03","1661180537332","77.16299438","1.592144132","9.141061783","1.343147159","ESP8266_1","'-19.51146507","30.27483559","2.030535936","43874","3617471.25"
"2c:3a:e8:03:e2:03","1661180537519","68.43000031","0.33518824","9.172186852","3.610456228","ESP8266_1","'-34.1374321","35.02292633","'-15.40459251","44044","3644317.5"
"2c:3a:e8:03:e2:03","1661180537682","49.18897247","'-4.86980629","7.479485989","'-4.242525578","ESP8266_1","'-130.3207092","4.183209419","88.90083313","44224","3675800"
"2c:3a:e8:03:e2:03","1661180537864","52.19650269","5.477933407","7.836222172","'-2.63601613","ESP8266_1","'-69.43516541","'-55.60309982","170.9008942","44409","3701168"
"2c:3a:e8:03:e2:03","1661180538030","79.23815155","1.841141105","9.971850395","'-0.450109929","ESP8266_1","25.2213974","47.64889526","368.1376953","44574","3720904"
"2c:3a:e8:03:e2:03","1661180538209","81.47174072","0.107739076","9.670180321","'-1.446097851","ESP8266_1","0.473282814","0.13740468","'-89.00770569","44743","3742275.25"
"2c:3a:e8:03:e2:03","1661180538388","82.66439056","0.9648633","8.030152321","'-0.37110126","ESP8266_1","186.3818359","'-62.9924202","26.27482986","44925","3767400.25"
"2c:3a:e8:03:e2:03","1661180538552","82.13162231","1.106121182","9.449913979","0.694318473","ESP8266_1","'-18.70230484","3.587789059","28.48857307","45103","3792987.25"
"2c:3a:e8:03:e2:03","1661180538724","78.40504456","1.434126854","9.294290543","1.256955862","ESP8266_1","'-24.04581833","8.442754745","37.02293015","45266","3818468.25"
"2c:3a:e8:03:e2:03","1661180538903","83.88262939","0.881066203","10.0269165","'-0.615309834","ESP8266_1","'-35.5725441","11.48092556","42.35118103","45436","3844729"
"2c:3a:e8:03:e2:03","1661180539171","67.3899765","0.284909993","9.739612579","4.046200752","ESP8266_1","'-55.77103424","'-18.99238205","43.03820038","45615","3871584"
"2c:3a:e8:03:e2:03","1661180539311","66.32598114","3.205836058","7.740454197","'-1.113303781","ESP8266_1","'-13.0076437","'-9.618328094","132.1222382","45784","3896357.75"
"2c:3a:e8:03:e2:03","1661180539410","74.7401886","'-2.53067112","9.689333916","0.763750315","ESP8266_1","'-7.251914024","18.71757317","182.3360291","45953","3919708.5"
"2c:3a:e8:03:e2:03","1661180539600","65.52503967","'-2.779668093","8.66940403","2.801215887","ESP8266_1","'-97.37412262","29.19086266","'-29.0076561","46123","3947661.25"
"2c:3a:e8:03:e2:03","1661180539751","84.82363129","0.478840351","9.727641106","'-0.739808321","ESP8266_1","'-19.61833572","10.10687923","13.3282547","46294","3973401.75"
